id,bonacich_neutral,bonacich_supportive,bonacich_suppressive,name,bonacich_neutral_rank,bonacich_supportive_rank,bonacich_suppressive_rank,delta_rank,role_class
7357,0.013519914985392992,0.13786780785004107,-0.017676078420165907,Katja Mast,5,1,5690,-5689,Power Amplifier
21491,0.01352767079794791,0.1378184033238678,-0.02245905560648186,Katarina Barley,3,2,5694,-5692,Power Amplifier
3070,0.013523668125361368,0.1356380355709289,-0.02226824201182544,Arno Klare MdB,4,3,5693,-5690,Power Amplifier
16427,0.013450818834499537,0.12286307109366726,-0.01051682884468209,Christian Petry,12,4,5683,-5679,Power Amplifier
9363,0.013453476988188273,0.12274633163958824,-0.010523442055706479,Heike Baehrens,11,5,5685,-5680,Power Amplifier
18819,0.013468137808243635,0.11519068854722075,-0.010170498773689569,Niels Annen,8,6,5682,-5676,Power Amplifier
22100,0.013422952334543107,0.11385594073075568,-0.006713210219855366,Klaus Mindrup,16,7,5677,-5670,Power Amplifier
8893,0.013404448704051098,0.10972833413867432,-0.002391331081546957,Michelle Müntefering,25,8,5662,-5654,Power Amplifier
22110,0.013418923918175354,0.106170770942933,-0.006531925533076263,Johannes Schraps,17,9,5675,-5666,Power Amplifier
8351,0.013411063816867972,0.10604122524329479,-0.0025750089462964454,Sigmar Gabriel,19,10,5663,-5653,Power Amplifier
17056,0.013464033222998455,0.10563698258343424,-0.01052108174913318,Martin Schulz,9,11,5684,-5673,Power Amplifier
9554,0.013409722544799815,0.10216004616643579,-0.0027705699968737507,Dietmar Nietan,21,12,5666,-5654,Power Amplifier
11719,0.013400428217975276,0.09808538871467874,-0.0013701734260694683,Achim Post,26,13,5656,-5643,Power Amplifier
11585,0.013373874343913392,0.09459234187044319,0.001235491885172575,Wolfgang Hellmich,41,14,5641,-5627,Power Amplifier
17340,0.013380491128937784,0.09457793624864808,8.117328918354329e-05,Yasmin Fahimi,37,15,5645,-5630,Power Amplifier
9164,0.013372515109694935,0.09305251771781958,0.0006952511327512776,Michael Groß,44,16,5642,-5626,Power Amplifier
16001,0.013373821719614435,0.09280033907518272,-1.7870903221961155e-05,Iris Gleicke,43,17,5646,-5629,Power Amplifier
10995,0.013373860848820664,0.09104924305698921,0.001565877645755891,Hubertus Heil,42,18,5638,-5620,Power Amplifier
7822,0.013371209669018704,0.08878792071471603,0.002128909107076643,Florian Pronold,45,19,5631,-5612,Power Amplifier
12783,0.013363243021297797,0.08514290587321278,0.0034049118563573774,Manuela Schwesig,53,20,5615,-5595,Power Amplifier
14650,0.013661035862090406,0.05828424937482653,-0.04724546947369434,Manfred Weber,1,49,5696,-5647,Power Amplifier
16972,0.01341094257496782,0.04660806750497941,-0.0025843407950736953,Terri Butler MP,20,75,5664,-5589,Power Amplifier
11102,0.01341881066447085,0.04619834243596514,-0.005056499865460484,Anthony Albanese MP,18,76,5671,-5595,Power Amplifier
20415,0.013568206440232185,0.0460544413295585,-0.03432068613998532,Joachim Herrmann,2,77,5695,-5618,Power Amplifier
18155,0.013478332666583073,0.04592006142495742,-0.01570721631972281,Angela Merkel,7,79,5689,-5610,Power Amplifier
11003,0.013492729055172514,0.042871538141698515,-0.01964345657374817,Barack Obama,6,94,5691,-5597,Power Amplifier
15644,0.013445071739914542,0.03609652450251013,-0.014047772893475663,Pamela Goldsmith-Jones,13,122,5688,-5566,Power Amplifier
290,0.013439785512805601,0.035856412173058724,-0.012974403999131653,Marie-Claude Bibeau,14,124,5687,-5563,Power Amplifier
22403,0.013427855242611206,0.03444329829893854,-0.011195552921623619,Dr. Hedy Fry,15,139,5686,-5547,Power Amplifier
528,0.01325018939680981,0.023264376675437116,0.015411866599977278,Dr. Sascha Raabe,1656,256,19,237,Power Inhibitor
16809,0.013460474450541863,0.020568667920346083,-0.02185147696795337,Sir Peter Bottomley MP,10,301,5692,-5391,Power Amplifier
5824,0.01324083865649262,0.015473336300157714,0.015565551482110848,Siemtje Möller MdB,2776,467,6,461,Power Inhibitor
22218,0.013239493306315008,0.013865731636719945,0.015454695067951336,Elisabeth Kaiser,3049,564,15,549,Power Inhibitor
2118,0.013236818277256564,0.010931482292387733,0.015420178291186927,Matthias Körner,3823,870,18,852,Power Inhibitor
1806,0.013247505001029924,0.010221100563677142,0.015683853171167966,Peter Beyer,1884,1022,3,1019,Power Inhibitor
16595,0.013244821949653764,0.00923735667407724,0.015409789824815452,Hermann Färber,2168,1228,20,1208,Power Inhibitor
10116,0.013243487086882604,0.008708575559898448,0.015500757906697716,Daniela Ludwig,2320,1357,12,1345,Power Inhibitor
20019,0.013242156559509149,0.008697240855134953,0.015545269279925233,Bob Bratina,2542,1360,7,1353,Power Inhibitor
21239,0.013242154540286906,0.008624102684559895,0.015490956899838173,Antje Lezius,2543,1390,13,1377,Power Inhibitor
15856,0.013243483365296318,0.008570148816758764,0.015425811904729175,Christian Ehler,2322,1402,17,1385,Power Inhibitor
8764,0.013242154394206349,0.008479130762654885,0.015515322903799575,Hans Michelbach,2544,1429,11,1418,Power Inhibitor
20851,0.01324081476134035,0.007858307808639383,0.015526932771970411,"Peter Tomaschko, MdL",2778,1660,9,1651,Power Inhibitor
14727,0.013239477283319836,0.007494622930326825,0.015481686433087267,Markus Koob - Bundestagsabgeordneter für Hochtaunus und Oberlahn,3051,1823,14,1809,Power Inhibitor
17559,0.013239474625236156,0.007391810293939341,0.015429614784368443,Volker Bauer,3052,1882,16,1866,Power Inhibitor
19622,0.013238147382343888,0.0073008381251915095,0.015538810713946371,Matthias Heider,3416,1917,8,1909,Power Inhibitor
5003,0.013236828868722692,0.007289327739440179,0.01589718001743621,Dietrich Monstadt,3821,1930,1,1929,Power Inhibitor
15002,0.01323814618285201,0.00724604468325516,0.015523010673264347,Michael Hofmann MdL,3418,1955,10,1945,Power Inhibitor
15701,0.013236818787532722,0.007089059618564664,0.015687856792139725,Peter Gauweiler,3822,2044,2,2042,Power Inhibitor
15094,0.013236816273758069,0.0070676881626947526,0.015612799686944928,Wilfried Oellers,3825,2062,5,2057,Power Inhibitor
22358,0.01323681786175832,0.0070644613015340835,0.01565462763826666,Bernhard Schulte-Drüggelte,3824,2065,4,2061,Power Inhibitor
