id,bonacich_neutral,bonacich_supportive,bonacich_suppressive,name,bonacich_neutral_rank,bonacich_supportive_rank,bonacich_suppressive_rank,delta_rank,role_class
5472,0.013234097566625696,0.005469590690479591,0.014549317519771912,Dr. Thawarchand Gehlot,5070,5098,462,4636,Power Inhibitor
2834,0.013234097566625696,0.005469590690479591,0.014549317519771912,Kailash Vijayvargiya,5070,5098,462,4636,Power Inhibitor
10188,0.013234097566625696,0.005469590690479591,0.014549317519771912,Nirmala Sitharaman,5070,5098,462,4636,Power Inhibitor
21531,0.01323409624421045,0.005457813007911598,0.014514913775796985,Marc-Philippe Daubresse,5098,5138,532,4606,Power Inhibitor
9814,0.01323409624421045,0.005457813007911598,0.014514913775796985,Patrick Labaune,5098,5138,532,4606,Power Inhibitor
3508,0.01323409624421045,0.005457813007911598,0.014514913775796985,Nora Berra,5098,5138,532,4606,Power Inhibitor
8583,0.01323409624421045,0.005457813007911598,0.014514913775796985,Claude  Goasguen,5098,5138,532,4606,Power Inhibitor
10489,0.01323409624421045,0.005457813007911598,0.014514913775796985,Aurore Bergé,5098,5138,532,4606,Power Inhibitor
8066,0.01323409624421045,0.005457813007911598,0.014514913775796985,Thierry Benoit,5098,5138,532,4606,Power Inhibitor
12590,0.013234094385840283,0.005427828826709577,0.014485932147008345,Damien Moore MP,5161,5215,611,4604,Power Inhibitor
12363,0.013234095049514628,0.0054366160681688265,0.01449336524443676,Patrick Prévot,5140,5188,588,4600,Power Inhibitor
17256,0.013234095049514628,0.0054366160681688265,0.01449336524443676,Jean-Pierre Denis,5140,5188,588,4600,Power Inhibitor
1320,0.013234095049514628,0.0054366160681688265,0.01449336524443676,Nicolas Martin,5140,5188,588,4600,Power Inhibitor
12528,0.01323409345870603,0.005417246269763286,0.014462928110229088,Margaret Greenwood MP,5205,5265,668,4597,Power Inhibitor
21441,0.01323409345870603,0.005417246269763286,0.014462928110229088,Chris Matheson - Chester MP,5205,5265,668,4597,Power Inhibitor
18104,0.01323409345870603,0.005417246269763286,0.014462928110229088,Julie Cooper MP,5205,5265,668,4597,Power Inhibitor
12266,0.01323409345870603,0.005417246269763286,0.014462928110229088,"Kate Hollern, MP for Blackburn",5205,5265,668,4597,Power Inhibitor
20670,0.01323409345870603,0.005417246269763286,0.014462928110229088,Helen Jones MP,5205,5265,668,4597,Power Inhibitor
6824,0.013234095714208294,0.0054498649400938045,0.01450342661328972,Giles Watling MP,5116,5157,564,4593,Power Inhibitor
5757,0.013234095714208294,0.0054498649400938045,0.01450342661328972,Mary Macleod,5116,5157,564,4593,Power Inhibitor
