id,bonacich_neutral,bonacich_supportive,bonacich_suppressive,name,bonacich_neutral_rank,bonacich_supportive_rank,bonacich_suppressive_rank,delta_rank,role_class
15619,0.013250158708521266,0.02100932447229312,0.01474632380577575,Bela Bach,1657,293,281,12,Stable Actor
12810,0.01324747517398214,0.017825985622891116,0.014659073633893308,Esther Dilcher,1889,377,371,6,Stable Actor
15216,0.01325412241521225,0.010966235169983858,0.014414576932184769,Gudie Hutchings,1384,863,883,-20,Stable Actor
6839,0.013244758638657681,0.007838142032206152,0.014230781949665476,Daniel Günther,2185,1669,1676,-7,Stable Actor
19487,0.01324475234328773,0.007052236266671554,0.014122264157290823,Rubens Otoni,2190,2073,2079,-6,Stable Actor
19871,0.013243413684314876,0.006757804413734978,0.014040517063865467,Ana Paula Lima,2364,2287,2275,12,Stable Actor
8925,0.013240742481415683,0.006555930487862736,0.013981542149941937,Dr. Richard Pan,2834,2493,2494,-1,Stable Actor
8275,0.013242075300611073,0.006497435347997296,0.013940822511852016,Ana Perugini,2601,2559,2570,-11,Stable Actor
2045,0.013239410499317327,0.006455112579355437,0.013923139416879162,Hugo Klein,3151,2607,2605,2,Stable Actor
11110,0.01324207237417842,0.006427093804092275,0.013898336228888785,Nilson Pinto,2611,2649,2661,-12,Stable Actor
5023,0.013240737701265621,0.006415358483927372,0.013903349260144984,Neil Abercrombie,2854,2667,2648,19,Stable Actor
3934,0.013242071972533166,0.006405360534391557,0.01389431754894979,Eduardo Macchiavelli,2613,2675,2669,6,Stable Actor
21361,0.013240736504177576,0.006384253851630055,0.013893324323518643,José María Figueres Olsen,2861,2696,2676,20,Stable Actor
17756,0.013239399993307971,0.006186113151691498,0.013786761463800635,Yaz Mubarakai MLA,3216,2953,2938,15,Stable Actor
19067,0.013240729730661972,0.0061588593333865675,0.013760830073095792,Oliver Luksic,2885,2989,2990,-1,Stable Actor
21209,0.013240726559657336,0.0060539145754672005,0.013668141436384142,Deputado Leonardo Quintão,2907,3153,3160,-7,Stable Actor
10680,0.013240725365787803,0.006033863200978018,0.013646477516345535,Antonio Bulhões,2918,3182,3194,-12,Stable Actor
18017,0.013240725497305688,0.006033300658297532,0.013651951415309916,David Seymour,2917,3183,3187,-4,Stable Actor
18028,0.013240723507039009,0.006007730827148653,0.013620028300283556,高金素梅(吉娃斯．阿麗),2926,3232,3247,-15,Stable Actor
11940,0.013240721647778111,0.005979225036649882,0.01358684572891943,Tomás Guanipa,2943,3305,3318,-13,Stable Actor
