node_id,authority_score,pagerank_score,authority_rank,pagerank_rank
3,3.392212855469e-03,2.032088977257e-04,1818,1279
4,0.000000000000e+00,5.048837521545e-05,2382,2382
5,0.000000000000e+00,5.048837521545e-05,2383,2383
6,2.284307734079e-03,3.089625591234e-04,1976,847
7,0.000000000000e+00,5.048837521545e-05,2384,2384
8,6.703856838824e-03,3.255358168805e-04,1477,785
9,0.000000000000e+00,5.048837521545e-05,2385,2385
10,2.445240511046e-03,4.270619304744e-04,1951,535
11,0.000000000000e+00,5.048837521545e-05,2386,2386
12,0.000000000000e+00,5.048837521545e-05,2387,2387
13,0.000000000000e+00,5.048837521545e-05,2388,2388
14,0.000000000000e+00,5.048837521545e-05,2389,2389
15,7.860192667369e-02,3.679864060586e-03,9,2
16,0.000000000000e+00,5.048837521545e-05,2390,2390
17,0.000000000000e+00,5.048837521545e-05,2391,2391
18,0.000000000000e+00,5.048837521545e-05,2392,2392
19,4.308733762000e-03,1.296848386364e-04,1701,1671
20,0.000000000000e+00,5.048837521545e-05,2393,2393
21,0.000000000000e+00,5.048837521545e-05,2394,2394
22,0.000000000000e+00,5.048837521545e-05,2395,2395
23,3.430423307177e-03,1.707014312619e-04,1808,1434
24,0.000000000000e+00,5.048837521545e-05,2396,2396
25,0.000000000000e+00,5.048837521545e-05,2397,2397
26,0.000000000000e+00,5.048837521545e-05,2398,2398
27,0.000000000000e+00,5.048837521545e-05,2399,2399
28,9.095386551353e-03,1.688809889017e-03,1332,28
29,7.152653974828e-03,1.837394595638e-04,1448,1375
30,3.394991619632e-03,1.728719472921e-04,1816,1420
31,0.000000000000e+00,5.048837521545e-05,2400,2400
32,1.430337011229e-03,1.937217621034e-04,2098,1331
33,4.898107051773e-03,3.373231845775e-04,1632,756
34,3.266055575520e-03,2.589057588807e-04,1835,1034
35,2.163081147182e-02,6.963655011058e-04,656,211
36,7.855165843876e-03,1.377353291074e-04,1408,1617
37,0.000000000000e+00,5.048837521545e-05,2401,2401
38,2.586721801005e-03,1.644009717923e-04,1927,1463
39,2.189653429093e-03,3.424841684647e-04,1994,745
40,0.000000000000e+00,5.048837521545e-05,2402,2402
41,0.000000000000e+00,5.048837521545e-05,2403,2403
42,0.000000000000e+00,5.048837521545e-05,2404,2404
43,0.000000000000e+00,5.048837521545e-05,2405,2405
44,0.000000000000e+00,5.048837521545e-05,2406,2406
45,0.000000000000e+00,5.048837521545e-05,2407,2407
46,0.000000000000e+00,5.048837521545e-05,2408,2408
47,0.000000000000e+00,5.048837521545e-05,2409,2409
48,0.000000000000e+00,5.048837521545e-05,2410,2410
49,2.318690754357e-03,2.795462191851e-04,1972,950
50,5.050600629901e-03,4.033491854930e-04,1624,583
51,0.000000000000e+00,5.048837521545e-05,2411,2411
52,0.000000000000e+00,5.048837521545e-05,2412,2412
53,0.000000000000e+00,5.048837521545e-05,2413,2413
54,5.005829341820e-03,3.461525516225e-04,1625,736
55,6.167010757386e-03,9.470520046150e-04,1513,110
56,3.557485026252e-02,9.145120058264e-04,196,118
57,0.000000000000e+00,5.048837521545e-05,2414,2414
58,0.000000000000e+00,5.048837521545e-05,2415,2415
59,0.000000000000e+00,5.048837521545e-05,2416,2416
60,0.000000000000e+00,5.048837521545e-05,2417,2417
61,3.069919113101e-03,2.138732214153e-04,1870,1235
62,0.000000000000e+00,5.048837521545e-05,2418,2418
63,0.000000000000e+00,5.048837521545e-05,2419,2419
64,4.648310720809e-03,8.219880545497e-05,1658,2064
65,0.000000000000e+00,5.048837521545e-05,2420,2420
